ID,Type,Created Date,Date From,Date To,Lead Time,Lines Added,Lines Modified,Lines Deleted,Team
2577.0, Bug , 2008-09-01 , 2008-09-01 , 2008-09-01 ,1.0,0.0,0.0,0.0,
2586.0, Bug , 2008-09-02 , 2008-09-02 , 2008-09-02 ,1.0,0.0,0.0,0.0,
2590.0, Bug , 2008-09-02 , 2008-09-23 , 2008-09-24 ,1.0,0.0,0.0,0.0,
2595.0, Bug , 2008-09-03 , 2008-09-03 , 2008-09-03 ,1.0,0.0,0.0,0.0,
2601.0, Bug , 2008-09-03 , 2008-09-03 , 2008-09-03 ,1.0,0.0,0.0,0.0,
2606.0, Bug , 2008-09-04 , 2008-09-04 , 2008-09-04 ,1.0,0.0,0.0,0.0,
2623.0, Bug , 2008-09-05 , 2008-09-16 , 2008-09-16 ,1.0,0.0,0.0,0.0,
2635.0, Bug , 2008-09-08 , 2008-09-08 , 2008-09-08 ,1.0,0.0,0.0,0.0,
2636.0, Bug , 2008-09-08 , 2008-09-10 , 2008-09-10 ,1.0,0.0,0.0,0.0,
2647.0, Bug , 2008-09-09 , 2008-09-09 , 2008-09-09 ,1.0,0.0,0.0,0.0,
2649.0, Bug , 2008-09-09 , 2008-09-09 , 2008-09-09 ,1.0,0.0,0.0,0.0,
2650.0, Bug , 2008-09-09 , 2008-09-09 , 2008-09-15 ,1.0,0.0,0.0,0.0,
2671.0, Bug , 2008-09-11 , 2008-09-11 , 2008-09-11 ,1.0,0.0,0.0,0.0,
2681.0, Bug , 2008-09-11 , 2008-09-18 , 2008-09-18 ,1.0,0.0,0.0,0.0,
2683.0, Bug , 2008-09-11 , 2008-09-12 , 2008-09-12 ,1.0,0.0,0.0,0.0,
2684.0, Bug , 2008-09-11 , 2008-09-11 , 2008-09-12 ,1.0,0.0,0.0,0.0,
2688.0, Bug , 2008-09-11 , 2008-09-12 , 2008-09-12 ,1.0,0.0,0.0,0.0,
2692.0, Bug , 2008-09-12 , 2008-09-15 , 2008-09-15 ,1.0,0.0,0.0,0.0,
2720.0, Bug , 2008-09-16 , 2008-09-16 , 2008-09-16 ,1.0,0.0,0.0,0.0,
2721.0, Bug , 2008-09-16 , 2008-09-16 , 2008-09-16 ,1.0,0.0,0.0,0.0,
2753.0, Bug , 2008-09-17 , 2008-09-17 , 2008-09-17 ,1.0,0.0,0.0,0.0,
2760.0, Bug , 2008-09-17 , 2008-09-17 , 2008-09-17 ,1.0,0.0,0.0,0.0,
2797.0, Bug , 2008-09-19 , 2008-09-19 , 2008-09-19 ,1.0,0.0,0.0,0.0,
2799.0, Bug , 2008-09-19 , 2008-09-25 , 2008-09-25 ,1.0,0.0,0.0,0.0,
2809.0, Bug , 2008-09-19 , 2008-09-22 , 2008-09-22 ,1.0,0.0,0.0,0.0,
2813.0, Bug , 2008-09-19 , 2008-09-22 , 2008-09-23 ,1.0,0.0,0.0,0.0,
2817.0, Bug , 2008-09-22 , 2008-09-22 , 2008-09-25 ,1.0,0.0,0.0,0.0,
2818.0, Bug , 2008-09-22 , 2008-09-22 , 2008-09-22 ,1.0,0.0,0.0,0.0,
2840.0, Bug , 2008-09-23 , 2008-09-23 , 2008-09-25 ,1.0,0.0,0.0,0.0,
2859.0, Bug , 2008-09-24 , 2008-09-24 , 2008-09-24 ,1.0,0.0,0.0,0.0,
2864.0, Bug , 2008-09-24 , 2008-09-24 , 2008-09-25 ,1.0,0.0,0.0,0.0,
2868.0, Bug , 2008-09-24 , 2008-09-24 , 2008-09-24 ,1.0,0.0,0.0,0.0,
2870.0, Bug , 2008-09-24 , 2008-09-24 , 2008-09-24 ,1.0,0.0,0.0,0.0,
2874.0, Bug , 2008-09-24 , 2008-09-24 , 2008-09-25 ,1.0,0.0,0.0,0.0,
2875.0, Bug , 2008-09-24 , 2008-09-24 , 2008-09-25 ,1.0,0.0,0.0,0.0,
2876.0, Bug , 2008-09-24 , 2008-09-24 , 2008-09-25 ,1.0,0.0,0.0,0.0,
