ID;Date From;Date To;Lead Time;Process Type;Type;Team
13595;2009-10-27;2009-10-28;1;Scrum;Bug;
13603;2009-10-27;2009-11-19;1;Scrum;Bug;
13611;2009-10-28;2009-10-28;1;Scrum;Feature;
13613;2009-11-11;2009-11-12;19;Scrum;Bug;
13616;2009-11-12;2009-11-13;18;Scrum;Bug;
13620;2009-10-28;2009-11-03;1;Scrum;Bug;
13622;2009-10-28;2009-10-28;23;Scrum;Bug;
13625;2009-10-28;2009-10-28;40;Scrum;Bug;
13626;2009-10-28;2009-10-28;33;Scrum;Bug;
13630;2009-10-28;2009-10-28;34;Scrum;Bug;
13636;2009-11-24;2009-11-24;8;Scrum;Bug;
13641;2009-10-28;2009-10-28;163;Scrum;Feature;
13647;2009-10-28;2009-10-28;35;Scrum;Bug;
13650;2009-11-03;2009-11-04;13;Scrum;Feature;
13655;2009-10-29;2009-10-29;22;Scrum;Bug;
13658;2009-11-11;2009-11-16;4;Scrum;Feature;
13664;2009-10-29;2009-10-30;1;Scrum;Bug;
13669;2009-11-03;2009-11-12;1;Scrum;Feature;
13670;2009-11-19;2009-12-08;123;Scrum;Feature;
13673;2009-11-06;2009-11-09;15;Scrum;Feature;
13675;2009-11-02;2009-11-20;1;Scrum;Feature;
13688;2009-11-03;2009-11-05;18;Scrum;Feature;
13689;2009-11-03;2009-11-12;5;Scrum;Feature;
13690;2009-11-13;2009-11-16;2;Scrum;Feature;
13694;2009-11-03;2009-11-05;77;Scrum;Feature;
13695;2009-11-03;2009-11-04;16;Scrum;Feature;
13696;2010-02-23;2010-02-23;2;Scrum;Bug;
13697;2009-11-05;2009-11-06;78;Scrum;Feature;
13699;2009-11-24;2009-11-24;60;Scrum;Feature;
13702;2009-11-11;2009-11-11;8;Scrum;Feature;
13705;2009-11-26;2009-12-04;14;Scrum;Feature;
13708;2009-10-30;2009-10-30;14;Scrum;Bug;
13709;2009-11-23;2009-11-25;9;Scrum;Feature;
13730;2009-11-03;2009-11-11;9;Scrum;Bug;
13732;2009-11-03;2009-11-11;9;Scrum;Bug;
13733;2009-11-03;2009-11-11;9;Scrum;Bug;
13734;2009-11-03;2009-11-11;9;Scrum;Bug;
13735;2009-11-03;2009-11-11;9;Scrum;Bug;
13737;2009-11-11;2009-11-11;8;Scrum;Bug;
13738;2009-11-03;2009-11-11;9;Scrum;Bug;
13744;2009-11-02;2009-11-03;8;Scrum;Feature;
13749;2009-11-02;2009-11-12;7;Scrum;Bug;
13750;2009-11-17;2009-12-01;3;Scrum;Bug;
13751;2009-11-11;2009-11-11;16;Scrum;Bug;
13753;2009-11-17;2009-12-01;3;Scrum;Bug;
13754;2009-11-05;2009-11-09;4;Scrum;Bug;
13755;2009-11-30;2009-11-30;10;Scrum;Feature;
13756;2009-11-25;2009-11-26;53;Scrum;Feature;
13778;2009-11-02;2009-11-02;23;Scrum;Feature;
13791;2009-11-04;2009-11-04;15;Scrum;Feature;
